Data type,Name,Channel Type,Rx Frequency,Tx Frequency,Color Code,Timeslot,Contact,Contact Type, Contact Id,Rx Group,Scanlist,Zone,RX CTCSS,TX CTCSS,Power,Bandwidth,Rx Only,Squelch,Tx Admit,TOT,TOT Rekey,Tx Signaling,Rx Signaling,Privacy Group,Emergency System,Flags1,Flags2,Flags3,Flags4,RssiThreshold,VoiceEmphasis,TxSignaling,UnmuteRule,RxSignaling
CH_DATA,Boxboro PD,Analog,155.64800,155.64800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,136.5,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Burlington PD,Analog,482.48800,482.48800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,146.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Cambridge PD,Analog,470.31300,470.31300,0,1,N/A,0,N/A,None,N/A,Middlsx Police,131.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Chelmsford PD,Analog,482.51300,482.51300,0,1,N/A,0,N/A,None,N/A,Middlsx Police,146.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Concord PD,Analog,482.33800,482.33800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,146.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Dracut PD,Analog,482.88800,482.88800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,146.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Dunstable PD,Analog,155.58000,155.58000,0,1,N/A,0,N/A,None,N/A,Middlsx Police,94.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,KA1UAG 1,Analog,146.95500,145.35500,0,1,N/A,0,N/A,None,None,None,131.8,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,KA1UAG 2,Analog,146.73000,146.13000,0,1,N/A,0,N/A,None,None,None,131.8,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,W1FN UHF,Analog,443.55000,448.55000,0,1,N/A,0,N/A,None,None,None,136.5,None,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,W1FN VHF,Analog,145.33000,144.73000,0,1,N/A,0,N/A,None,None,None,100.0,100.0,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,W1ET,Analog,444.95000,449.95000,0,1,N/A,0,N/A,None,None,None,None,88.5,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,W1FN,Analog,145.33000,144.73000,0,1,N/A,0,N/A,None,None,None,100.0,100.0,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,K1EME,Analog,147.34500,147.94500,0,1,N/A,0,N/A,None,None,None,None,114.8,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Everett PD,Analog,470.81300,470.81300,0,1,N/A,0,N/A,None,N/A,Middlsx Police,131.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Framingham PD,Analog,471.76300,471.76300,0,1,N/A,0,N/A,None,N/A,Middlsx Police,131.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Groton PD,Analog,155.58000,155.58000,0,1,N/A,0,N/A,None,N/A,Middlsx Police,94.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,MMRA BEL,Analog,145.43000,144.83000,0,1,N/A,0,N/A,None,BOS HAM,BOS MMRA,146.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,MMRA QCY,Analog,146.67000,146.07000,0,1,N/A,0,N/A,None,BOS HAM,BOS MMRA,146.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,MMRA DTN,Analog,146.82000,146.22000,0,1,N/A,0,N/A,None,BOS HAM,BOS MMRA,None,127.3,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,MMRA BBY,Analog,146.82000,146.22000,0,1,N/A,0,N/A,None,BOS HAM,BOS MMRA,None,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,MMRA HUB1,Analog,449.92500,444.92500,0,1,N/A,0,N/A,None,BOS HAM,BOS MMRA,88.5,88.5,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,MMRA HUB2,Analog,442.70000,447.70000,0,1,N/A,0,N/A,None,BOS HAM,BOS MMRA,88.5,88.5,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Holliston PD,Analog,471.33800,471.33800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,123.0,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Hopkinton PD,Analog,471.61300,471.61300,0,1,N/A,0,N/A,None,N/A,Middlsx Police,123.0,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Lincoln PD,Analog,483.00000,483.00000,0,1,N/A,0,N/A,None,N/A,Middlsx Police,131.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Littleton PD,Analog,155.85000,155.85000,0,1,N/A,0,N/A,None,N/A,Middlsx Police,151.4,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,BARC,Analog,145.23000,144.63000,0,1,N/A,0,N/A,None,BOS HAM,BOS OTHER,88.5,100.0,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,WARA 2M,Analog,146.64000,146.04000,0,1,N/A,0,N/A,None,BOS HAM,BOS OTHER,136.5,136.5,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,WARA 70CM,Analog,449.07500,444.07500,0,1,N/A,0,N/A,None,BOS HAM,BOS OTHER,None,88.5,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,MIT,Analog,449.72500,444.72500,0,1,N/A,0,N/A,None,BOS HAM,BOS OTHER,114.8,114.8,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Lowell PD,Analog,453.12500,453.12500,0,1,N/A,0,N/A,None,N/A,Middlsx Police,192.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Malden PD,Analog,470.76300,470.76300,0,1,N/A,0,N/A,None,N/A,Middlsx Police,131.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Maynard PD,Analog,155.01000,155.01000,0,1,N/A,0,N/A,None,N/A,Middlsx Police,107.2,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Medford PD,Analog,470.58800,470.58800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,131.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Melrose PD,Analog,471.03800,471.03800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,131.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
CH_DATA,Natick PD,Analog,472.73800,472.73800,0,1,N/A,0,N/A,None,N/A,Middlsx Police,131.8,146.2,High,25,No,Normal,0,0,5,0,0,0,0,0,0,0,131,-80,0,0,0,0,22
